,EosinY-1gL,NaOH-1M,PCAT_Gee-pt/g-c3n4,PVP-1wt,RhodamineB-1gL,SDS-1wt,TEOA-0-10VV,Target
82,0.0,0.0,5.0,0.0,0.0,0.0,0.5,15.526423933912193
83,0.0,0.0,4.99,0.0,0.0,0.0,0.5,15.113162878166793
84,0.0,0.75,4.995,1.25,0.0,0.25,1.75,27.346797279845905
85,0.5,0.0,5.015,1.0,0.0,0.25,0.5,5.618168564253707
86,0.0,0.0,4.995,0.25,0.0,1.0,2.25,13.75004297955293
87,1.75,0.0,5.015,0.0,0.0,0.0,0.75,37.17095289982501
88,0.25,0.0,5.0,0.25,0.0,0.75,3.25,12.51506758975783
89,0.75,0.0,5.02,0.0,0.0,0.25,0.75,16.244403343223393
90,0.0,0.75,4.97,1.25,0.0,0.25,1.75,21.586590537273615
91,0.25,0.25,4.995,1.25,0.0,0.5,2.0,24.228958777564937
92,0.25,0.0,4.975,0.5,0.0,0.0,2.25,8.037426295992372
93,0.75,1.75,5.03,0.0,0.0,0.0,1.25,31.17502709875796
94,0.0,0.0,4.995,0.0,0.0,0.0,0.5,15.597608370863718
95,0.0,0.0,5.005,0.0,0.0,0.0,0.5,13.801434394472059
